S.No,Name of City,lat,lng
1,Mumbai,18.94018,72.83484
2,Delhi,28.63409,77.21693
3,Bengaluru,12.96614,77.58694
4,Ahmedabad,23.02778,72.60026
5,Hyderabad,17.3949,78.47073
6,Chennai,13.08376,80.28256
7,Kolkata,22.57059,88.37133
8,Pune,18.50419,73.85286
9,Jaipur,26.92591,75.80673
10,Surat,21.18584,72.83667
11,Lucknow,26.85471,80.92135
12,Kanpur,26.43562,80.32987
13,Nagpur,21.15707,79.08209
14,Patna,25.60129,85.13752
15,Indore,22.71622,75.86512
16,Thane,19.18781,72.97256
17,Bhopal,23.26466,77.40521
18,Visakhapatnam,17.71984,83.26284
19,Vadodara,22.30948,73.1799
20,Firozabad,27.15211,78.39466
21,Ludhiana,30.90726,75.8492
22,Rajkot,22.29715,70.80156
23,Agra,27.19219,78.00005
24,Siliguri,26.73246,88.40883
25,Nashik,19.99511,73.79641
26,Faridabad,28.39262,77.31268
27,Patiala,30.34706,76.39419
28,Meerut,28.99862,77.70459
29,Kalyan-Dombivali,19.21547,73.09492
30,Vasai-Virar,34.92794,134.84166
31,Varanasi,25.33285,82.99658
32,Srinagar,34.08442,74.7991
33,Dhanbad,23.79595,86.4306
34,Jodhpur,26.26694,73.03049
35,Amritsar,31.63347,74.87507
36,Raipur,21.24402,81.6348
37,Allahabad,25.43609,81.84718
38,Coimbatore,10.99415,76.96629
39,Jabalpur,23.17416,79.93135
40,Gwalior,26.22011,78.1762
41,Vijayawada,16.50256,80.63975
42,Madurai,9.92418,78.12416
43,Guwahati,26.17723,91.75414
44,Chandigarh,30.7036,76.78967
45,Hubli-Dharwad,15.35046,75.13739
46,Amroha,28.87696,78.46851
47,Moradabad,28.8396,78.7599
48,Gurgaon,28.47717,77.06846
49,Aligarh,27.88636,78.07375
50,Solapur,17.65809,75.90678
51,Ranchi,23.35065,85.31374
52,Jalandhar,31.33081,75.59003
53,Tiruchirappalli,10.80605,78.69476
54,Bhubaneswar,20.2688,85.84098
55,Salem,44.93326,-123.04381
56,Warangal,17.98405,79.60203
57,Mira-Bhayandar,19.27414,72.91311
58,Thiruvananthapuram,8.50525,76.95144
59,Bhiwandi,19.29711,73.06349
60,Saharanpur,29.96569,77.54607
61,Guntur,16.29533,80.44267
62,Amravati,20.93373,77.75941
63,Bikaner,28.01649,73.31183
64,Noida,28.53342,77.3819
65,Jamshedpur,22.78183,86.21247
66,Bhilai Nagar,21.22074,81.37976
67,Cuttack,20.46654,85.89613
68,Kochi,33.55873,133.53106
69,Udaipur,24.58702,73.69845
70,Bhavnagar,21.77524,72.14925
71,Dehradun,30.3097,78.04891
72,Asansol,23.6856,86.97926
73,Nanded-Waghala,19.15571,77.31096
74,Ajmer,26.46554,74.63173
75,Jamnagar,22.46961,70.07358
76,Ujjain,23.18088,75.78813
77,Sangli,16.85083,74.58888
78,Loni,28.75839,77.28393
79,Jhansi,25.4486,78.56956
80,Pondicherry,11.92993,79.8247
81,Nellore,14.43956,79.99352
82,Jammu,32.70267,74.87843
83,Belagavi,15.86704,74.51162
84,Raurkela,22.22972,84.86077
85,Mangaluru,12.89785,74.84544
86,Tirunelveli,8.72641,77.7335
87,Malegaon,20.5546,74.53399
88,Gaya,24.78497,84.99271
89,Tiruppur,11.08942,77.36261
90,Davanagere,14.4593,75.91528
91,Kozhikode,11.2588,75.78094
92,Akola,20.70535,77.00218
93,Kurnool,15.82551,78.03012
94,Bokaro Steel City,23.65912,86.13715
95,Rajahmundry,16.99572,81.80267
96,Ballari,15.14468,76.92893
97,Agartala,23.8292,91.29058
98,Bhagalpur,25.24186,86.9863
99,Latur,18.40044,76.56379
100,Dhule,20.90286,74.7725
101,Korba,22.36717,82.71378
102,Bhilwara,25.35187,74.63221
103,Brahmapur,19.31194,84.80337
104,Mysore,12.30902,76.65306
105,Muzaffarpur,26.11512,85.38082
106,Ahmednagar,19.09211,74.73842
107,Kollam,8.88686,76.59228
108,Raghunathganj,21.95091,86.73769
109,Bilaspur,22.0785,82.14016
110,Shahjahanpur,27.85574,79.91809
111,Thrissur,10.51082,76.21121
112,Alwar,27.55619,76.61238
113,Kakinada,16.96428,82.23785
114,Nizamabad,18.67746,78.09617
115,Sagar,23.84315,78.74272
116,Tumkur,13.34054,77.10157
117,Hisar,29.13888,75.73597
118,Rohtak,28.89764,76.57446
119,Panipat,29.3929,76.9686
120,Darbhanga,26.15516,85.89044
121,Kharagpur,22.32834,87.2516
122,Aizawl,23.74129,92.71266
123,Ichalkaranji,16.69311,74.45927
124,Tirupati,13.63194,79.41818
125,Karnal,29.68591,76.98935
126,Bathinda,30.2114,74.94523
127,Rampur,28.77825,79.02556
128,Shivamogga,13.9448,75.56668
129,Ratlam,23.33363,75.04472
130,Modinagar,28.83624,77.57679
131,Durg,21.19918,81.28967
132,Shillong,25.58228,91.88588
133,Imphal,24.80756,93.92864
134,Hapur,28.73868,77.79194
135,Ranipet,12.95148,79.47278
136,Anantapur,14.68352,77.58195
137,Arrah,25.5582,84.67778
138,Karimnagar,18.43717,79.13124
139,Parbhani,19.26078,76.77693
140,Etawah,26.78196,79.02845
141,Bharatpur,27.21087,77.48153
142,Begusarai,25.42442,86.13367
143,New Delhi,28.63097,77.2172
144,Chhapra,25.78194,84.743
145,Kadapa,14.46734,78.85423
146,Ramagundam,18.75656,79.48425
147,Pali,25.78886,73.3286
148,Satna,24.5761,80.80066
149,Vizianagaram,18.11825,83.41798
150,Katihar,25.55696,87.5566
151,Hardwar,25.15979,80.00054
152,Sonipat,28.9953,77.02214
153,Nagercoil,8.16869,77.43174
154,Thanjavur,10.76864,79.12901
155,Murwara (Katni),23.82166,80.39913
156,Naihati,22.89576,88.42876
157,Sambhal,28.58438,78.57182
158,Nadiad,22.69788,72.85642
159,Yamunanagar,30.14673,77.28961
160,English Bazar,25.01094,88.14053
161,Eluru,16.71811,81.11365
162,Munger,25.36556,86.48767
163,Panchkula,30.70457,76.86396
164,Raayachuru,16.20333,77.34489
165,Panvel,18.99821,73.12315
166,Deoghar,24.48909,86.6995
167,Ongole,15.51761,80.0599
168,Nandyal,15.47033,78.47094
169,Morena,26.49052,77.98572
170,Bhiwani,28.7956,76.14621
171,Porbandar,21.64481,69.62102
172,Palakkad,10.77581,76.65813
173,Anand,22.56831,72.97794
174,Purnia,25.77687,87.47435
175,Baharampur,24.10042,88.24071
176,Barmer,25.75199,71.41381
177,Morvi,22.80779,70.82353
178,Orai,25.98665,79.45085
179,Bahraich,27.57684,81.60251
180,Sikar,27.61456,75.14116
181,Vellore,12.91354,79.13249
182,Singrauli,24.19468,82.6656
183,Khammam,17.25163,80.15729
184,Mahesana,23.60599,72.37562
185,Silchar,24.81277,92.79759
186,Sambalpur,21.47796,83.97526
187,Rewa,24.52611,81.30245
188,Unnao,26.54635,80.48631
189,Hugli-Chinsurah,22.90353,88.38261
190,Raiganj,25.61956,88.12638
191,Phusro,23.76511,85.99124
192,Adityapur,22.76996,86.10293
193,Alappuzha,9.5013,76.33233
194,Bahadurgarh,28.69381,76.93274
195,Machilipatnam,16.18177,81.12952
196,Rae Bareli,26.22099,81.25568
197,Jalpaiguri,26.52422,88.7198
198,Bharuch,21.71792,72.99727
199,Pathankot,32.27054,75.64904
200,Hoshiarpur,31.5324,75.90528
201,Baramula,34.20448,74.35682
202,Adoni,15.62284,77.27013
203,Jind,29.31646,76.32079
204,Tonk,26.16113,75.78625
205,Tenali,16.2401,80.64876
206,Kancheepuram,12.82425,79.70112
207,Vapi,20.37172,72.90909
208,Sirsa,29.53957,75.03103
